Q_10_25_5_601	Q_10_25_5_602	Q_10_25_5_603	Q_10_25_5_604	Q_10_25_5_605	Q_10_25_5_606
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1494.56204704391	0	1930.48513252636	1490.53565351673	1932.2184849169	1604.86533191848
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1485.85820027044	1411.81500438103	0	1485.8581032968	4156.8298048535	1343.03165317859
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1413.75736386476	1594.94452947689	0	0	0	1695.12159312988
0	0	0	0	0	0
0	0	0	0	0	0
1404.19016404697	1342.68258444019	0	1375.996129518	3788.89655904759	1275.60949545706
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1343.04414644299	0	1741.49550945074	0	1357.93192846312	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1203.7290745964	1185.56481338787	0	1210.11419264234	3307.40397492435	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1291.48993628315	1325.82847618652	0	0	679.939736593297
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	679.939736593297	670.323130867861	680.414432238255	2822.98793597386	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
689.018223149301	0	667.401814495985	2318.490318522	1195.02940539735	667.668027970041
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
667.026239851862	683.11993106825	681.392476855441	642.732901503212	1844.35429224185	664.345641067209
0	0	0	0	0	0
0	0	0	0	0	0
1710.77983860575	1712.12680472482	1815.22714146941	1588.86705634464	1707.61744291003	1658.45580312348
0	0	0	0	0	0
0	0	0	0	0	0
0	4898.84978892544	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1711.47184023907	1815.5343875695	1932.81201817557	1711.50770452181	1709.6339723413	1723.18227178115
0	0	0	0	0	0
0	0	0	0	0	0
708.797948023873	1659.44615598777	1727.48476901743	1590.80363053193	1711.50688909363	1594.32983814651
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1659.80453337838	1726.55514370083	1804.75472721037	1660.08086677659	1815.43080745692	1660.03405802125
0	0	0	0	0	0
0	0	0	0	0	0
1530.49577979697	0	1411.40493290506	1530.47642316917	1660.00745975697	1404.19016404697
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
738.560261881396	1660.03221927063	1356.84282652761	1594.32207442455	1727.64072565475	1340.98709628018
0	0	0	0	0	0
0	0	0	0	0	0
702.836899300441	1340.98709672831	1340.98710138692	1317.91074281343	1478.09490952313	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1340.98709780486	1284.33138329373	1404.19016404697	1411.56537077895	709.225402165641
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1227.8280750323	1366.08810161185	0	1417.03620339529	0	1139.66239510689
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1206.39238713918	0	1213.66916861236	692.152006325387	1340.98709150556	1205.24072599424
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	697.07509303742	1205.01092953915	1166.82057355497	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1086.59261898347	1205.24067253353	1117.93897408331	1273.93773012829	643.317078268289
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
662.844861092898	658.536435587202	640.597047147666	663.05703642221	679.486870163117	642.732901503212
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
659.002462542543	649.168845822265	1395.28189824264	632.460439377744	641.998841372208	640.364212690241
0	0	0	0	0	0
0	0	0	0	0	0
1463.5410352529	1592.06008238722	1658.69513923122	1466.54293750129	1592.92018581488	1586.03993798978
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1590.80566610727	1658.68720611396	1727.23057855893	1590.80742219615	1592.79647195554	1592.00221071159
0	0	0	0	0	0
0	0	0	0	0	0
1463.37007140772	1400.5437849454	1400.57000983835	1466.14435047681	1592.57019170109	702.836899300441
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1527.26856243966	1592.01547555552	1657.42913629877	1530.47298728996	1657.89615069212	1530.07372188028
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
690.580054630263	1320.91498853703	1316.92308995496	1413.48463598402	1527.26851814735	684.481614780007
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
1467.21139180183	1340.98709647654	1340.98710180942	1467.98870213101	1591.85871089132	1366.10690310857
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
685.238893092689	1241.99210046158	1239.24549553108	1287.67231418062	1468.00428214694	1162.99341221631
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	1273.93773360878	1273.93773627297	1227.82834279167	1530.07379827884	1414.1317067481
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
